trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Train_EnvstepsSoFar,trainer/Train_AverageRewardSoFar,trainer/Eval_AverageRewardSoFar,trainer/TimeSinceStart,trainer/Training Loss,trainer/Initial_DataCollection_AverageReturn
124.666214,0.0,124.666214,124.666214,501.0,-2423.5024,440.22174,-1787.8011,-3312.8218,501.0,5010,0.0,0.0,45.163734674453735,0.073367916,-2423.5024
235.02414,0.0,235.02414,235.02414,501.0,126.132774,28.063568,175.98889,67.13924,501.0,10020,0.0,0.0,302.59832549095154,0.096790075,-2423.5024
291.89655,0.0,291.89655,291.89655,501.0,228.28911,32.461514,289.90692,175.95555,501.0,15030,0.0,0.0,565.7495498657227,0.096164875,-2423.5024
182.18344,0.0,182.18344,182.18344,501.0,254.43733,22.774014,295.8188,223.26337,501.0,20040,0.0,0.0,834.2025127410889,0.09577715,-2423.5024
200.90494,0.0,200.90494,200.90494,501.0,243.0429,38.33777,302.83704,179.76974,501.0,25050,0.0,0.0,1094.26455950737,0.10131472,-2423.5024
322.90515,0.0,322.90515,322.90515,501.0,311.9979,32.327286,387.2987,261.79376,501.0,30060,0.0,0.0,1358.0117993354797,0.10324854,-2423.5024
235.7744,0.0,235.7744,235.7744,501.0,289.89658,34.63791,344.5026,240.35602,501.0,35070,0.0,0.0,1619.838366985321,0.098677896,-2423.5024
379.3719,0.0,379.3719,379.3719,501.0,311.50943,32.18853,357.08484,253.58302,501.0,40080,0.0,0.0,1877.6343865394592,0.10392844,-2423.5024
234.50877,0.0,234.50877,234.50877,501.0,318.67667,54.292656,406.61432,223.19989,501.0,45090,0.0,0.0,2136.0481503009796,0.103236936,-2423.5024
326.49918,0.0,326.49918,326.49918,501.0,311.31268,53.56851,426.95255,236.65292,501.0,50100,0.0,0.0,2403.602422475815,0.10190114,-2423.5024
244.98756,0.0,244.98756,244.98756,501.0,321.1817,49.378933,392.40762,225.65048,501.0,55110,0.0,0.0,2673.3590862751007,0.10536007,-2423.5024
326.68744,0.0,326.68744,326.68744,501.0,326.35776,59.611393,427.31528,243.3837,501.0,60120,0.0,0.0,2944.5860934257507,0.103779286,-2423.5024
379.0097,0.0,379.0097,379.0097,501.0,309.0042,39.27209,380.43417,266.92392,501.0,65130,0.0,0.0,3213.0436618328094,0.1056918,-2423.5024
392.53024,0.0,392.53024,392.53024,501.0,321.55914,32.959675,402.36237,279.23105,501.0,70140,0.0,0.0,3469.663773536682,0.106850095,-2423.5024
216.86948,0.0,216.86948,216.86948,501.0,319.46564,44.907017,381.29556,229.89401,501.0,75150,0.0,0.0,3739.8978424072266,0.10578123,-2423.5024
328.58206,0.0,328.58206,328.58206,501.0,348.05005,54.24671,434.59158,245.52347,501.0,80160,0.0,0.0,4011.029781103134,0.10384504,-2423.5024
330.91705,0.0,330.91705,330.91705,501.0,313.57565,46.25798,378.59222,241.04294,501.0,85170,0.0,0.0,4280.231438159943,0.10316834,-2423.5024
335.6751,0.0,335.6751,335.6751,501.0,313.1397,46.9459,395.14325,244.0163,501.0,90180,0.0,0.0,4547.825404644012,0.10268354,-2423.5024
367.08118,0.0,367.08118,367.08118,501.0,360.28528,40.589493,422.8075,296.826,501.0,95190,0.0,0.0,4809.8873653411865,0.104873516,-2423.5024
328.78595,0.0,328.78595,328.78595,501.0,349.63623,43.308987,424.41858,275.68677,501.0,100200,0.0,0.0,5076.681535243988,0.10433767,-2423.5024
