trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Train_EnvstepsSoFar,trainer/Train_AverageRewardSoFar,trainer/Eval_AverageRewardSoFar,trainer/TimeSinceStart,trainer/Training Loss,trainer/Initial_DataCollection_AverageReturn
-546.0265,104.01645,-442.01,-650.0429,201.0,-1867.5033,395.404,-1096.5337,-2495.3633,201.0,5025,0.0,0.0,29.993306875228882,0.14795437,-1867.5033
-319.7474,24.001038,-295.74637,-343.74844,201.0,-625.60956,117.51088,-379.65842,-877.8357,201.0,10050,0.0,0.0,232.68426370620728,0.15169443,-1867.5033
-309.94937,54.105217,-255.84416,-364.0546,201.0,-332.59738,72.163925,-263.64313,-518.29877,201.0,15075,0.0,0.0,427.11683535575867,0.157893,-1867.5033
-255.78256,16.328209,-239.45436,-272.11078,201.0,-285.66638,37.822838,-255.38017,-455.54388,201.0,20100,0.0,0.0,614.1293752193451,0.14965719,-1867.5033
-261.23718,19.956558,-241.28061,-281.19373,201.0,-275.97424,45.13851,-235.10141,-459.77725,201.0,25125,0.0,0.0,800.072643995285,0.15029109,-1867.5033
-265.807,2.6101532,-263.19687,-268.41718,201.0,-259.91638,11.472468,-231.32484,-275.7906,201.0,30150,0.0,0.0,988.2150881290436,0.14108217,-1867.5033
-265.48642,3.9745789,-261.51184,-269.461,201.0,-268.05872,16.227135,-248.57362,-322.289,201.0,35175,0.0,0.0,1175.9434192180634,0.1408221,-1867.5033
-245.69183,3.416298,-242.27553,-249.10812,201.0,-265.77994,16.017855,-235.04256,-293.69006,201.0,40200,0.0,0.0,1367.167855501175,0.13911436,-1867.5033
-281.9503,5.723297,-276.227,-287.67358,201.0,-258.74454,11.342565,-241.58629,-280.65115,201.0,45225,0.0,0.0,1553.3566899299622,0.13440318,-1867.5033
-272.32013,11.421219,-260.8989,-283.74133,201.0,-260.82425,16.08914,-235.61688,-298.66797,201.0,50250,0.0,0.0,1740.5675284862518,0.13531595,-1867.5033
-280.94043,0.32237244,-280.61804,-281.2628,201.0,-265.4295,14.491294,-239.55405,-288.74667,201.0,55275,0.0,0.0,1927.8708086013794,0.129782,-1867.5033
-257.43777,7.5634384,-249.87434,-265.00122,201.0,-261.49927,13.782904,-235.22368,-291.8799,201.0,60300,0.0,0.0,2124.4574449062347,0.13036677,-1867.5033
-277.9938,27.355217,-250.6386,-305.34903,201.0,-260.24094,16.824587,-232.60594,-299.12518,201.0,65325,0.0,0.0,2316.758833885193,0.123223044,-1867.5033
-251.38702,2.4903488,-248.89667,-253.87737,201.0,-259.23987,15.577695,-224.87164,-293.6409,201.0,70350,0.0,0.0,2499.955129623413,0.12460777,-1867.5033
-270.25,14.855209,-255.39478,-285.1052,201.0,-258.8645,17.22338,-231.20644,-310.55252,201.0,75375,0.0,0.0,2687.0767073631287,0.12854014,-1867.5033
