trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Train_EnvstepsSoFar,trainer/Train_AverageRewardSoFar,trainer/Eval_AverageRewardSoFar,trainer/TimeSinceStart,trainer/Training Loss,trainer/Initial_DataCollection_AverageReturn
-567.11475,15.224487,-551.89026,-582.33923,201.0,-1853.2247,377.6526,-1057.0668,-2606.3716,201.0,20100,0.0,0.0,25.58138656616211,0.19208187,-1853.2247
-376.22256,16.529633,-359.69293,-392.7522,201.0,-521.14185,52.81996,-429.6894,-553.38745,201.0,20904,0.0,0.0,57.39346694946289,0.1782006,-1853.2247
-342.80286,20.182632,-322.62024,-362.9855,201.0,-307.58087,21.617935,-293.83115,-344.99265,201.0,21708,0.0,0.0,89.7541995048523,0.17270441,-1853.2247
-343.45172,0.8096466,-342.64206,-344.26135,201.0,-388.3785,69.351364,-316.84918,-503.19647,201.0,22512,0.0,0.0,120.47442984580994,0.16504855,-1853.2247
-304.3206,13.815582,-290.505,-318.13617,201.0,-287.19458,32.74414,-248.51251,-339.1848,201.0,23316,0.0,0.0,151.97839736938477,0.16500372,-1853.2247
-300.68253,18.082397,-282.60013,-318.76492,201.0,-317.8937,38.870483,-280.85315,-382.63705,201.0,24120,0.0,0.0,181.4423451423645,0.16097237,-1853.2247
-380.15894,87.92796,-292.23096,-468.08688,201.0,-640.7351,218.71658,-374.93845,-917.3456,201.0,24924,0.0,0.0,212.9622015953064,0.16369873,-1853.2247
-269.31085,20.057022,-249.25385,-289.3679,201.0,-339.81927,79.15921,-292.3305,-476.913,201.0,25728,0.0,0.0,244.19038248062134,0.15880288,-1853.2247
-271.7937,0.9497833,-270.84393,-272.7435,201.0,-276.86133,13.2014675,-254.68367,-287.16846,201.0,26532,0.0,0.0,275.97439908981323,0.14846332,-1853.2247
-242.26744,0.27041626,-241.99702,-242.53786,201.0,-293.07263,30.29362,-243.94283,-321.0605,201.0,27336,0.0,0.0,307.00670194625854,0.15085663,-1853.2247
-261.96954,4.799713,-257.16983,-266.76926,201.0,-275.36194,20.578938,-241.42084,-294.23346,201.0,28140,0.0,0.0,338.2859079837799,0.1490397,-1853.2247
-480.675,110.25252,-370.42245,-590.9275,201.0,-276.02505,16.170555,-253.80278,-296.8128,201.0,28944,0.0,0.0,367.93444418907166,0.14412789,-1853.2247
-254.1529,7.999916,-246.15297,-262.1528,201.0,-424.1309,98.74912,-261.766,-504.03357,201.0,29748,0.0,0.0,398.2640714645386,0.1441068,-1853.2247
