trainer/Eval_AverageReturn,trainer/Eval_StdReturn,trainer/Eval_MaxReturn,trainer/Eval_MinReturn,trainer/Eval_AverageEpLen,trainer/Train_AverageReturn,trainer/Train_StdReturn,trainer/Train_MaxReturn,trainer/Train_MinReturn,trainer/Train_AverageEpLen,trainer/Train_EnvstepsSoFar,trainer/Train_AverageRewardSoFar,trainer/Eval_AverageRewardSoFar,trainer/TimeSinceStart,trainer/Training Loss,trainer/Initial_DataCollection_AverageReturn
-550.1544,45.728607,-504.42584,-595.88306,201.0,-1853.2247,377.6526,-1057.0668,-2606.3716,201.0,20100,0.0,0.0,30.240082263946533,0.19208187,-1853.2247
-328.1231,18.850357,-309.27274,-346.97345,201.0,-510.60974,109.103355,-372.8422,-666.27496,201.0,20904,0.0,0.0,72.4948320388794,0.17808159,-1853.2247
-297.63232,11.169312,-286.463,-308.80164,201.0,-368.41226,66.97395,-309.37704,-481.26172,201.0,21708,0.0,0.0,114.36618089675903,0.17424847,-1853.2247
-328.20764,9.272781,-318.93484,-337.4804,201.0,-343.43097,20.510454,-317.21747,-374.7587,201.0,22512,0.0,0.0,157.29501223564148,0.17347904,-1853.2247
-294.41785,40.08876,-254.32907,-334.5066,201.0,-313.5605,31.712599,-276.65967,-363.65973,201.0,23316,0.0,0.0,199.44648480415344,0.16165765,-1853.2247
-299.52692,6.7494354,-292.77747,-306.27634,201.0,-315.5646,19.788443,-293.20325,-338.2434,201.0,24120,0.0,0.0,242.28622889518738,0.16139957,-1853.2247
-311.6452,1.1937256,-310.45148,-312.83893,201.0,-312.79007,17.374105,-293.903,-341.1733,201.0,24924,0.0,0.0,284.6285789012909,0.16175596,-1853.2247
-325.09262,17.535034,-307.5576,-342.62766,201.0,-291.43158,17.81913,-265.0293,-315.2851,201.0,25728,0.0,0.0,326.8705883026123,0.1574737,-1853.2247
-315.3432,11.32048,-304.0227,-326.66367,201.0,-338.78806,21.292698,-307.87732,-368.05634,201.0,26532,0.0,0.0,367.9178857803345,0.15561372,-1853.2247
-286.66693,24.364029,-262.3029,-311.03094,201.0,-301.96533,14.40287,-279.03412,-318.8435,201.0,27336,0.0,0.0,408.9648516178131,0.15385877,-1853.2247
-309.6137,21.298523,-288.3152,-330.91223,201.0,-318.51727,23.957403,-279.51602,-342.40347,201.0,28140,0.0,0.0,450.86354970932007,0.146145,-1853.2247
-307.9331,20.39505,-287.53806,-328.32816,201.0,-323.50366,28.181522,-283.31033,-354.18564,201.0,28944,0.0,0.0,491.34008169174194,0.1476584,-1853.2247
-334.2349,37.552673,-296.68222,-371.78757,201.0,-311.88635,33.406574,-276.16388,-366.70612,201.0,29748,0.0,0.0,535.1672105789185,0.14443168,-1853.2247
-310.74518,2.6970673,-308.0481,-313.44223,201.0,-304.5363,22.523394,-285.0366,-342.86496,201.0,30552,0.0,0.0,580.1321158409119,0.14437114,-1853.2247
-296.27625,20.068222,-276.20804,-316.34448,201.0,-319.52173,27.700285,-279.46945,-354.78293,201.0,31356,0.0,0.0,627.9230375289917,0.14164706,-1853.2247
